num_id,source,a3_lbl,brand,amManu,country,countai,ai1,ai2,ai3,has_ml,ai1_mg,ai1_ml,ai2_mg,ai2_ml,ai3_mg,ai3_ml,strength_lbl,fdc,salt,salt_name,packtype,packsize,NAFDAC_REGNO,a3,ai1_no,ai2_no,ai3_no,gname_no,gname,amBrand,natapp,qaact,ID2,DateofWHOprequalification,RefNo,GlobalFundQAStandard,WHOPrequalificationSRA,Manufacturingsite,ID4,source5,amBrand_BEN,AMM23,AMM24,LaboratoireFabricant,originalorder,CMR24_ID,GB_ID,CHECK
NGA-1050,NAFDAC,LIQUID INJ.,A-B ARTEETHER,MAKCUR LABORATORIES LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,.,.,,6,63,.,.,63,ARTEETHER,A-B ARTEETHER | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | MAKCUR LABORATORIES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-1577,NAFDAC,LIQUID INJ.,ABEETA,SWISS PARENTERALS PVT LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,.,.,,6,63,.,.,63,ARTEETHER,ABEETA | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | SWISS PARENTERALS PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AwL_NGA_211,NGA-24-AwL,LIQUID INJ.,ABEETA,SAKAR HEALTHCARE UK LTD,ENGLAND,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,n/a,ampoule,3 Ampoules of 2 ML,A4-9609,6,63,.,.,63,ARTEETHER,ABEETA | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | SAKAR HEALTHCARE UK LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
NGA-0647,NAFDAC,LIQUID INJ.,ABTHER,INDASI LIFESCIENCE PVT LTD,NIGERIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,.,.,B4-7301,6,63,.,.,63,ARTEETHER,ABTHER | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | INDASI LIFESCIENCE PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
NGA-0648,NAFDAC,LIQUID INJ.,ABTHER,INDASI LIFESCIENCE PVT LTD,NIGERIA,1,ARTEETHER,.,.,1,225,3,.,.,.,.,225mg/ 3ml,N/A,UNKNOWN,.,.,.,B4-7300,6,63,.,.,63,ARTEETHER,ABTHER | LIQUID INJ. | ARTEETHER | 225mg/ 3ml | INDASI LIFESCIENCE PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
NGA-0101,NAFDAC,LIQUID INJ.,ACITHER,ANHUI CHENGSHI PHARMA CO LTD,CHINA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,AMPOULE OU FLACON,999*,,6,61,.,.,31,ARTEMETHER,ACITHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | ANHUI CHENGSHI PHARMA CO LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-1192,NAFDAC,LIQUID INJ.,ACITHER,MERCURY LABORATORIES LTD,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,AMPOULE OU FLACON,999*,,6,61,.,.,31,ARTEMETHER,ACITHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | MERCURY LABORATORIES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AwL_NGA_249,NGA-24-AwL,POWDER INJ.,ACME,MIRACLE LIFE SCIENCES,INDIA,1,ARTESUNATE,.,.,0,60,.,.,.,.,.,60MG,N/A,NO,N/A,VIAL,1,A4-8989,7,65,.,.,32,ARTESUNATE,ACME | POWDER INJ. | ARTESUNATE | 60MG | MIRACLE LIFE SCIENCES,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
170,"CMR 23 & 24, BEN AWL DATA",SUSPENSION,ACURE,EXPHA / HUAZHONG PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,20,5,120,5,.,.,20/5mg - 120/5mg,N/A,UNKNOWN,.,BLISTER PLAQUETTE,30ML ,,5,61,74,.,40,AL,ACURE | SUSPENSION | ARTEMETHER LUMEFANTRINE | 20/5mg - 120/5mg | EXPHA / HUAZHONG PHARMA CO LTD,999*,0,.,.,.,.,.,.,643,BEN - SEARCH,.,4411702,4411702,,,.,.,3
182,BEN AWL DATA,SUSPENSION,ACURE,EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,20,5,120,5,.,.,20/5mg - 120/5mg,N/A,UNKNOWN,.,bottle,"30, 60",,5,61,74,.,40,AL,ACURE | SUSPENSION | ARTEMETHER LUMEFANTRINE | 20/5mg - 120/5mg | EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,689,BEN - MANUAL,.,,,,,.,.,5
172,"CMR 23 & 24, BEN AWL DATA",SUSPENSION,ACURE,EXPHA / HUAZHONG PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,40,5,240,5,.,.,40/5mg - 240/5mg,N/A,UNKNOWN,.,BLISTER PLAQUETTE,30ML ,,5,61,74,.,40,AL,ACURE | SUSPENSION | ARTEMETHER LUMEFANTRINE | 40/5mg - 240/5mg | EXPHA / HUAZHONG PHARMA CO LTD,999*,0,.,.,.,.,.,.,647,BEN - SEARCH,.,4411701,4411701,,,.,.,3
