num_id,source,a3_lbl,brand,amManu,country,countai,ai1,ai2,ai3,has_ml,ai1_mg,ai1_ml,ai2_mg,ai2_ml,ai3_mg,ai3_ml,strength_lbl,fdc,salt,salt_name,packtype,packsize,NAFDAC_REGNO,a3,ai1_no,ai2_no,ai3_no,gname_no,gname,amBrand,natapp,qaact,ID2,DateofWHOprequalification,RefNo,GlobalFundQAStandard,WHOPrequalificationSRA,Manufacturingsite,ID4,source5,amBrand_BEN,AMM23,AMM24,LaboratoireFabricant,originalorder,CMR24_ID,GB_ID,CHECK
NGA-1193,NAFDAC,TABLET,ACITHER-FORTE,MERCURY LABORATORIES LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,80,.,480,.,.,.,80/480mg,UNKNOWN,UNKNOWN,.,.,.,,1,61,74,.,40,AL,ACITHER-FORTE | TABLET | ARTEMETHER LUMEFANTRINE | 80/480mg | MERCURY LABORATORIES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-1194,NAFDAC,TABLET,ACITHER-PLUS,MERCURY LABORATORIES LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,20,.,120,.,.,.,20/120mg,UNKNOWN,UNKNOWN,.,.,.,,1,61,74,.,40,AL,ACITHER-PLUS | TABLET | ARTEMETHER LUMEFANTRINE | 20/120mg | MERCURY LABORATORIES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AwL_NGA_395,NGA-24-AwL,TABLET,ACTITESUNATE PLUS,JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTESUNATE,MEFLOQUINE,.,0,600,.,750,.,.,.,600/750MG,UNKNOWN,NO,N/A,individual package,6,B4-2994,1,65,75,.,47,ASMQ,ACTITESUNATE PLUS | TABLET | ARTESUNATE MEFLOQUINE | 600/750MG | JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
183,"CMR 23 & 24, BEN AWL DATA",DISPERSIBLE TABLET,ACURE,EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,20,.,120,.,.,.,20/120mg,YES,UNKNOWN,.,individual package,"6, 12, 24",,1,61,74,.,40,AL,ACURE | DISPERSIBLE TABLET | ARTEMETHER LUMEFANTRINE | 20/120mg | EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,664,BEN - MANUAL,.,4412205,4412205,,,.,.,3
185,"CMR 23 & 24, BEN AWL DATA",DISPERSIBLE TABLET,ACURE,EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,40,.,240,.,.,.,40/240mg,UNKNOWN,UNKNOWN,.,individual package,1X6 ,,1,61,74,.,40,AL,ACURE | DISPERSIBLE TABLET | ARTEMETHER LUMEFANTRINE | 40/240mg | EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,672,BEN - MANUAL,.,4412206,4412206,,,.,.,3
169,BEN AWL DATA,TABLET,ACURE,EXPHA / HUAZHONG PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,20,.,120,.,.,.,20/120mg,YES,UNKNOWN,.,individual package,6,,1,61,74,.,40,AL,ACURE | TABLET | ARTEMETHER LUMEFANTRINE | 20/120mg | EXPHA / HUAZHONG PHARMA CO LTD,999*,0,.,.,.,.,.,.,644,BEN - SEARCH,.,,,,,.,.,5
171,BEN AWL DATA,TABLET,ACURE,EXPHA / HUAZHONG PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,40,.,240,.,.,.,40/240mg,YES,UNKNOWN,.,individual package,"6 , 12",,1,61,74,.,40,AL,ACURE | TABLET | ARTEMETHER LUMEFANTRINE | 40/240mg | EXPHA / HUAZHONG PHARMA CO LTD,999*,0,.,.,.,.,.,.,629,BEN - SEARCH,.,,,,,.,.,5
175,BEN AWL DATA,TABLET,ACURE,EXPHA / HUAZHONG PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,80,.,480,.,.,.,80/480mg,YES,UNKNOWN,.,individual package,6,,1,61,74,.,40,AL,ACURE | TABLET | ARTEMETHER LUMEFANTRINE | 80/480mg | EXPHA / HUAZHONG PHARMA CO LTD,999*,0,.,.,.,.,.,.,4,BEN - SEARCH,ACURE 80/480,,,,,.,.,5
187,BEN AWL DATA,TABLET,ACURE,EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,80,.,480,.,.,.,80/480mg,YES,UNKNOWN,.,individual package,6,,1,61,74,.,40,AL,ACURE | TABLET | ARTEMETHER LUMEFANTRINE | 80/480mg | EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,8,BEN - MANUAL,ACURE 80/480,,,,,.,.,5
NGA-0114,NAFDAC,TABLET,ADAMSNATE PLUS,ANHUI NHU PHARM CO LTD,CHINA,2,ARTESUNATE,AMODIAQUINE,.,0,50,.,150,.,.,.,50/150mg,UNKNOWN,UNKNOWN,.,,,,1,65,60,.,44,ASAQ,ADAMSNATE PLUS | TABLET | ARTESUNATE AMODIAQUINE | 50/150mg | ANHUI NHU PHARM CO LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-0043,NAFDAC,DISPERSIBLE TABLET,AFLOTIN,AJANTA PHARMA LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,20,.,120,.,.,.,20/120mg,UNKNOWN,UNKNOWN,.,,,,1,61,74,.,40,AL,AFLOTIN | DISPERSIBLE TABLET | ARTEMETHER LUMEFANTRINE | 20/120mg | AJANTA PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-0046,NAFDAC,TABLET,AFLOTIN,AJANTA PHARMA LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,40,.,240,.,.,.,40/240mg,UNKNOWN,UNKNOWN,.,,,,1,61,74,.,40,AL,AFLOTIN | TABLET | ARTEMETHER LUMEFANTRINE | 40/240mg | AJANTA PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-0047,NAFDAC,TABLET,AFLOTIN,AJANTA PHARMA LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,60,.,360,.,.,.,60/360mg,UNKNOWN,UNKNOWN,.,,,C4-0265,1,61,74,.,40,AL,AFLOTIN | TABLET | ARTEMETHER LUMEFANTRINE | 60/360mg | AJANTA PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
NGA-0049,NAFDAC,TABLET,AFLOTIN,AJANTA PHARMA LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,80,.,480,.,.,.,80/480mg,UNKNOWN,UNKNOWN,.,,,,1,61,74,.,40,AL,AFLOTIN | TABLET | ARTEMETHER LUMEFANTRINE | 80/480mg | AJANTA PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AwL_NGA_283,NGA-24-AwL,TABLET,AFLOTIN,AJANTA PHARMA LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,20,.,120,.,.,.,20/120MG,YES,NO,N/A,individual package,24,B4-9299,1,61,74,.,40,AL,AFLOTIN | TABLET | ARTEMETHER LUMEFANTRINE | 20/120MG | AJANTA PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
